@relation 'training_tutorial-weka.filters.unsupervised.attribute.Remove-R7,20-24,26,28,30,32-33,35-37,39-41,43-45,47-50,52-56,58-62,64-68,70-75,77-83,85-91,93-99,101-108,110-118,120-128,130-138,140-143-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R3-6,23-38'

@attribute pacman-pos-x numeric
@attribute pacman-pos-y numeric
@attribute ghost1-live numeric
@attribute ghost2-live numeric
@attribute ghost3-live numeric
@attribute ghost4-live numeric
@attribute ghost1-pos-x numeric
@attribute ghost1-pos-y numeric
@attribute ghost2-pos-x numeric
@attribute ghost2-pos-y numeric
@attribute ghost3-pos-x numeric
@attribute ghost3-pos-y numeric
@attribute ghost4-pos-x numeric
@attribute ghost4-pos-y numeric
@attribute wall-x-y1 numeric
@attribute wall-x1-y numeric
@attribute wall-x-y-1 numeric
@attribute wall-x-1-y numeric
@attribute score numeric
@attribute direction {North,South,East,West,Stop}

@data
2,10,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,0,East
3,10,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-1,East
4,10,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-2,East
5,10,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-3,East
6,10,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-4,East
7,10,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-5,East
8,10,1,1,1,1,16,5,17,8,22,12,23,17,1,0,0,0,-6,East
9,10,1,1,1,1,16,5,17,8,22,12,23,17,1,0,0,0,-7,South
9,9,1,1,1,1,16,5,17,8,22,12,23,17,0,1,0,0,-8,South
9,8,1,1,1,1,16,5,17,8,22,12,23,17,0,0,0,0,-9,East
10,8,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-10,East
11,8,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-11,East
12,8,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-12,East
13,8,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-13,East
14,8,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-14,East
15,8,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-15,East
16,8,1,1,1,1,16,5,17,8,22,12,23,17,1,0,1,0,-16,East
17,8,1,0,1,1,16,5,3,1,22,12,23,17,1,1,1,0,183,West
16,8,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,182,West
15,8,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,181,West
14,8,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,180,West
13,8,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,179,West
12,8,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,178,West
11,8,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,177,West
10,8,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,176,West
9,8,1,0,1,1,16,5,3,1,22,12,23,17,0,0,0,0,175,South
9,7,1,0,1,1,16,5,3,1,22,12,23,17,0,1,0,0,174,South
9,6,1,0,1,1,16,5,3,1,22,12,23,17,0,1,0,0,173,South
9,5,1,0,1,1,16,5,3,1,22,12,23,17,0,1,0,0,172,South
9,4,1,0,1,1,16,5,3,1,22,12,23,17,0,1,0,0,171,South
9,3,1,0,1,1,16,5,3,1,22,12,23,17,0,0,1,0,170,East
10,3,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,169,East
11,3,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,168,East
12,3,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,167,East
13,3,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,166,East
14,3,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,165,East
15,3,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,164,East
16,3,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,163,East
17,3,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,162,East
18,3,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,161,East
19,3,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,160,East
20,3,1,0,1,1,16,5,3,1,22,12,23,17,1,0,1,0,159,East
21,3,1,0,1,1,16,5,3,1,22,12,23,17,0,0,1,0,158,North
21,4,1,0,1,1,16,5,3,1,22,12,23,17,0,0,0,1,157,North
21,5,1,0,1,1,16,5,3,1,22,12,23,17,0,0,0,0,156,West
20,5,1,0,1,1,16,5,3,1,22,12,23,17,0,0,1,0,155,West
19,5,1,0,1,1,16,5,3,1,22,12,23,17,0,0,1,0,154,West
18,5,1,0,1,1,16,5,3,1,22,12,23,17,0,0,1,0,153,West
17,5,1,0,1,1,16,5,3,1,22,12,23,17,0,0,1,0,152,West
