@relation InstanceResultListener

@attribute Key_Dataset {training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.RandomForest,weka.classifiers.lazy.IBk}
@attribute Key_Scheme_options {'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"'}
@attribute Key_Scheme_version_ID {1116839470751428698,-3080186098777067172}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute Correlation_coefficient numeric
@attribute Number_unclassified numeric
@attribute Percent_unclassified numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureOutOfBagError numeric

@data

training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,1,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,7.9939,23.084539,4.976978,12.4609,0.992161,0,0,?,?,?,?,?,?,0.445,0.009,0.421875,0.015625,421.875,15.625,4156472,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,1,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,11.327896,32.141059,7.000446,17.37738,0.984704,0,0,?,?,?,?,?,?,0.422,0.006,0.390625,0.015625,390.625,15.625,4018706,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,1,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,9.352703,27.76436,5.55422,14.375373,0.98958,0,0,?,?,?,?,?,?,0.411,0.008,0.375,0.015625,375,15.625,4127755,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,1,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,12.462132,35.027251,7.480122,18.375217,0.983092,0,0,?,?,?,?,?,?,0.405,0.008,0.40625,0.015625,406.25,15.625,4013429,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,1,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,11.484581,32.753039,7.15948,17.705003,0.98418,0,0,?,?,?,?,?,?,0.397,0.009,0.375,0.015625,375,15.625,3995908,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,1,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,8.91124,26.585037,5.64333,14.60695,0.989226,0,0,?,?,?,?,?,?,0.421,0.009,0.359375,0.015625,359.375,15.625,4050751,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,1,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,8.945481,25.636351,5.529316,13.805652,0.99043,0,0,?,?,?,?,?,?,0.4,0.009,0.390625,0.015625,390.625,15.625,4128334,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,1,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2635,292,8.576625,21.970818,5.384594,11.92617,0.99279,0,0,?,?,?,?,?,?,0.419,0.009,0.40625,0.015625,406.25,15.625,4147603,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,1,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2635,292,10.818706,30.67079,6.757337,16.699273,0.985964,0,0,?,?,?,?,?,?,0.445,0.009,0.421875,0,421.875,0,4078432,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,1,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2635,292,10.7386,34.193803,6.842564,18.626235,0.982564,0,0,?,?,?,?,?,?,0.446,0.019,0.453125,0.015625,453.125,15.625,4078821,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,2,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,12.593812,36.3263,7.894989,19.619762,0.980884,0,0,?,?,?,?,?,?,0.515,0.021,0.5,0.015625,500,15.625,4008648,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,2,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,8.416977,22.449961,5.336045,12.383179,0.992265,0,0,?,?,?,?,?,?,0.468,0.008,0.46875,0,468.75,0,3993330,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,2,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,9.346295,27.219145,5.537584,14.147491,0.989914,0,0,?,?,?,?,?,?,0.45,0.02,0.4375,0.015625,437.5,15.625,4055290,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,2,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,8.605325,25.615506,5.398068,13.894015,0.990309,0,0,?,?,?,?,?,?,0.418,0.008,0.40625,0.015625,406.25,15.625,4109068,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,2,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,9.191056,26.066504,5.828675,14.273513,0.98978,0,0,?,?,?,?,?,?,0.404,0.008,0.40625,0,406.25,0,4042730,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,2,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,8.200035,23.008141,4.974569,12.119689,0.992601,0,0,?,?,?,?,?,?,0.406,0.008,0.40625,0.015625,406.25,15.625,4053399,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,2,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,10.907164,32.446661,6.640914,17.215591,0.985361,0,0,?,?,?,?,?,?,0.402,0.008,0.40625,0,406.25,0,4032797,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,2,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2635,292,9.681619,27.152505,5.879269,14.347681,0.989689,0,0,?,?,?,?,?,?,0.406,0.009,0.375,0,375,0,4006076,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,2,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2635,292,13.995468,41.698875,8.881013,23.072247,0.973681,0,0,?,?,?,?,?,?,0.396,0.008,0.359375,0.015625,359.375,15.625,3991593,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,2,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2635,292,8.417765,24.799686,5.293029,13.536973,0.990797,0,0,?,?,?,?,?,?,0.404,0.008,0.40625,0.015625,406.25,15.625,4146218,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,3,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,11.701642,34.312772,6.828598,17.632728,0.984522,0,0,?,?,?,?,?,?,0.406,0.007,0.40625,0,406.25,0,4032109,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,3,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,10.642275,31.420527,6.579287,16.88204,0.985754,0,0,?,?,?,?,?,?,0.409,0.008,0.390625,0.015625,390.625,15.625,4073236,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,3,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2232,2634,293,8.091207,23.419038,4.945229,12.540097,0.992159,0,0,?,?,?,?,?,?,0.405,0.008,0.40625,0,406.25,0,4092843,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,3,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,9.532263,30.128669,6.077758,16.597447,0.986136,0,0,?,?,?,?,?,?,0.404,0.008,0.375,0.015625,375,15.625,4047908,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,3,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,9.984021,28.150404,6.215745,15.102911,0.988567,0,0,?,?,?,?,?,?,0.402,0.008,0.40625,0,406.25,0,4043571,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,3,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,11.729318,34.724061,7.732901,19.690429,0.980923,0,0,?,?,?,?,?,?,0.401,0.008,0.390625,0.015625,390.625,15.625,3969704,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,3,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,11.443627,31.485788,7.03216,16.827555,0.985689,0,0,?,?,?,?,?,?,0.402,0.009,0.375,0,375,0,4016121,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,3,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2635,292,9.268133,26.206563,5.691949,14.022755,0.990128,0,0,?,?,?,?,?,?,0.489,0.008,0.46875,0.015625,468.75,15.625,4130443,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,3,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2635,292,8.742723,23.099294,5.411274,12.424284,0.992291,0,0,?,?,?,?,?,?,0.485,0.01,0.46875,0,468.75,0,4076251,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,3,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2635,292,8.72094,24.007737,5.443965,12.949975,0.991617,0,0,?,?,?,?,?,?,0.433,0.008,0.421875,0.015625,421.875,15.625,4106075,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,4,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,12.694003,35.564582,8.182628,19.786186,0.980599,0,0,?,?,?,?,?,?,0.408,0.008,0.375,0,375,0,3977147,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,4,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,8.511616,22.646662,5.190243,12.088177,0.992757,0,0,?,?,?,?,?,?,0.417,0.008,0.421875,0.015625,421.875,15.625,4137700,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,4,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,11.393819,32.762064,7.324725,18.141374,0.983524,0,0,?,?,?,?,?,?,0.405,0.008,0.40625,0.015625,406.25,15.625,4038910,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,4,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,8.80158,26.422634,5.359172,13.953362,0.990188,0,0,?,?,?,?,?,?,0.408,0.009,0.390625,0.015625,390.625,15.625,4054237,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,4,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,10.137803,29.869773,6.011529,15.550936,0.987877,0,0,?,?,?,?,?,?,0.4,0.008,0.40625,0,406.25,0,4050533,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,4,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,9.345848,28.56533,5.897267,15.61438,0.987799,0,0,?,?,?,?,?,?,0.41,0.008,0.40625,0.015625,406.25,15.625,4103261,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,4,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,10.626604,32.196151,6.637994,17.447435,0.98462,0,0,?,?,?,?,?,?,0.401,0.008,0.40625,0,406.25,0,4078104,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,4,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2635,292,8.677835,22.685328,5.36841,12.14717,0.992581,0,0,?,?,?,?,?,?,0.409,0.009,0.390625,0.015625,390.625,15.625,4103407,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,4,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2635,292,10.283087,31.908203,6.380946,17.248717,0.98493,0,0,?,?,?,?,?,?,0.405,0.008,0.390625,0.015625,390.625,15.625,4077567,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,4,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2635,292,9.476651,28.249909,5.761694,14.94311,0.988873,0,0,?,?,?,?,?,?,0.404,0.008,0.375,0.015625,375,15.625,4096909,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,5,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,10.551191,32.258604,6.754661,17.829506,0.984233,0,0,?,?,?,?,?,?,0.446,0.012,0.453125,0.015625,453.125,15.625,4070560,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,5,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,10.974651,35.073198,6.795665,18.88655,0.982213,0,0,?,?,?,?,?,?,0.425,0.009,0.40625,0,406.25,0,3994152,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,5,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,10.032396,30.793312,5.931757,15.992128,0.987263,0,0,?,?,?,?,?,?,0.405,0.008,0.40625,0.015625,406.25,15.625,4082698,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,5,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,11.892711,34.726092,7.511786,18.975797,0.982165,0,0,?,?,?,?,?,?,0.4,0.008,0.359375,0.015625,359.375,15.625,4018567,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,5,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,10.862685,31.783453,6.523609,16.670978,0.986043,0,0,?,?,?,?,?,?,0.403,0.008,0.390625,0.015625,390.625,15.625,4060605,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,5,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,9.661825,26.247135,6.278827,14.667984,0.989022,0,0,?,?,?,?,?,?,0.405,0.009,0.40625,0,406.25,0,4074282,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,5,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,8.26172,23.351872,5.027062,12.404532,0.992353,0,0,?,?,?,?,?,?,0.409,0.007,0.375,0,375,0,4093169,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,5,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2635,292,8.889821,23.887218,5.721931,13.236764,0.991381,0,0,?,?,?,?,?,?,0.402,0.008,0.40625,0,406.25,0,4037980,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,5,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2635,292,7.995193,21.855221,4.876501,11.595833,0.993253,0,0,?,?,?,?,?,?,0.408,0.009,0.390625,0.015625,390.625,15.625,4073802,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,5,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2635,292,10.514164,28.479022,6.404968,15.141675,0.988505,0,0,?,?,?,?,?,?,0.396,0.008,0.390625,0.015625,390.625,15.625,4020829,627022,71731,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,6,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,11.227961,31.229314,6.831494,16.647562,0.986032,0,0,?,?,?,?,?,?,0.406,0.009,0.40625,0.015625,406.25,15.625,4001358,626785,71968,?,?,?,-1
training_keyboard-weka.filters.unsupervised.attribute.Remove-R24-143,6,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 3',1116839470751428698,20220329.2233,2634,293,9.377129,27.366518,5.719558,14.608114,0.989319,0,0,?,?,?,?,?,?,0.4,0.008,0.390625,0.015625,390.625,15.625,4106240,626785,71968,?,?,?,-1
