@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R8-19

@attribute pacman-pos-x numeric
@attribute pacman-pos-y numeric
@attribute can-north numeric
@attribute can-south numeric
@attribute can-east numeric
@attribute can-west numeric
@attribute can-stop numeric
@attribute ghost1-distance numeric
@attribute ghost2-distance numeric
@attribute ghost3-distance numeric
@attribute ghost4-distance numeric
@attribute direction {North,South,East,West,Stop}

@data
1,11,0,1,1,0,1,11,7,7,18,Stop
1,11,0,1,1,0,1,12,6,7,18,Stop
1,11,0,1,1,0,1,13,7,6,19,Stop
1,11,0,1,1,0,1,12,6,6,20,East
2,11,0,0,1,1,1,11,6,4,20,East
3,11,0,0,1,1,1,10,4,4,20,East
4,11,0,0,1,1,1,10,2,4,20,East
5,11,0,1,1,1,1,8,2,3,19,East
6,11,0,1,1,1,1,8,0,2,19,East
7,11,0,0,1,1,1,8,0,1,17,East
8,11,0,0,1,1,1,8,0,0,15,East
9,11,0,0,1,1,1,9,0,0,14,East
10,11,0,1,1,1,1,9,0,0,12,South
10,10,1,1,1,0,1,7,0,0,11,South
10,9,1,1,1,1,1,5,0,0,9,South
10,8,1,1,0,1,1,3,0,0,9,West
9,8,1,1,1,1,1,3,0,0,9,South
9,7,1,1,1,1,1,1,0,0,9,South
9,6,1,1,1,1,1,0,0,0,9,West
8,6,1,1,1,0,1,0,0,0,11,East
9,6,1,1,1,1,1,0,0,0,9,East
10,6,1,1,0,1,1,0,0,0,9,South
10,5,1,1,1,1,1,0,0,0,8,East
11,5,0,1,1,1,1,0,0,0,7,East
12,5,0,0,1,1,1,0,0,0,7,East
13,5,0,1,1,1,1,0,0,0,5,East
14,5,1,1,1,1,1,0,0,0,5,East
15,5,0,1,1,1,1,0,0,0,3,South
15,4,1,1,1,1,1,0,0,0,3,East
16,4,1,1,1,1,1,0,0,0,1,North
16,5,0,1,1,1,1,0,0,0,1,East
1,11,0,1,1,0,1,11,7,7,18,Stop
1,11,0,1,1,0,1,12,6,8,19,Stop
1,11,0,1,1,0,1,13,5,7,19,Stop
1,11,0,1,1,0,1,14,6,7,18,East
2,11,0,0,1,1,1,13,4,5,18,East
3,11,0,0,1,1,1,13,4,3,18,East
4,11,0,0,1,1,1,12,2,3,18,East
5,11,0,1,1,1,1,10,3,2,16,East
6,11,0,1,1,1,1,8,4,1,16,East
7,11,0,0,1,1,1,8,4,0,14,East
