@relation all_data_pacman-weka.filters.unsupervised.attribute.Remove-R20-23-weka.filters.unsupervised.attribute.Remove-R3-7

@attribute pacman-pos-x numeric
@attribute pacman-pos-y numeric
@attribute ghost1-live numeric
@attribute ghost2-live numeric
@attribute ghost3-live numeric
@attribute ghost4-live numeric
@attribute ghost1-pos-x numeric
@attribute ghost1-pos-y numeric
@attribute ghost2-pos-x numeric
@attribute ghost2-pos-y numeric
@attribute ghost3-pos-x numeric
@attribute ghost3-pos-y numeric
@attribute ghost4-pos-x numeric
@attribute ghost4-pos-y numeric
@attribute direction {North,South,East,West,Stop}

@data
1,11,1,1,1,1,6,5,6,9,8,11,14,6,Stop
1,11,1,1,1,1,7,5,6,10,8,11,14,6,Stop
1,11,1,1,1,1,7,4,6,9,7,11,14,6,Stop
1,11,1,1,1,1,7,5,5,9,7,11,14,5,East
2,11,1,1,1,1,7,5,5,8,6,11,15,5,East
3,11,1,1,1,1,7,5,5,9,7,11,16,5,East
4,11,1,1,1,1,8,5,5,10,8,11,17,5,East
5,11,1,1,1,1,7,5,6,10,8,11,18,5,East
6,11,1,0,1,1,8,5,3,1,8,11,18,5,East
7,11,1,0,1,1,8,4,3,1,8,11,18,4,East
8,11,1,0,0,1,8,3,3,1,5,1,18,5,East
9,11,1,0,0,1,8,3,3,1,5,1,17,5,East
10,11,1,0,0,1,8,4,3,1,5,1,17,5,South
10,10,1,0,0,1,8,5,3,1,5,1,16,5,South
10,9,1,0,0,1,8,6,3,1,5,1,16,5,South
10,8,1,0,0,1,9,6,3,1,5,1,15,5,West
9,8,1,0,0,1,8,6,3,1,5,1,16,5,South
9,7,1,0,0,1,9,6,3,1,5,1,15,5,South
9,6,0,0,0,1,1,1,3,1,5,1,16,5,West
8,6,0,0,0,1,1,1,3,1,5,1,17,5,East
9,6,0,0,0,1,1,1,3,1,5,1,17,4,East
10,6,0,0,0,1,1,1,3,1,5,1,16,4,South
10,5,0,0,0,1,1,1,3,1,5,1,17,4,East
11,5,0,0,0,1,1,1,3,1,5,1,17,4,East
12,5,0,0,0,1,1,1,3,1,5,1,17,4,East
13,5,0,0,0,1,1,1,3,1,5,1,18,4,East
14,5,0,0,0,1,1,1,3,1,5,1,17,4,East
15,5,0,0,0,1,1,1,3,1,5,1,17,3,South
15,4,0,0,0,1,1,1,3,1,5,1,17,4,East
16,4,0,0,0,1,1,1,3,1,5,1,18,4,North
16,5,0,0,0,1,1,1,3,1,5,1,17,4,East
