@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R7,20-23,146'

@attribute pacman-pos-x numeric
@attribute pacman-pos-y numeric
@attribute can-north numeric
@attribute can-south numeric
@attribute can-east numeric
@attribute can-west numeric
@attribute ghost1-live numeric
@attribute ghost2-live numeric
@attribute ghost3-live numeric
@attribute ghost4-live numeric
@attribute ghost1-pos-x numeric
@attribute ghost1-pos-y numeric
@attribute ghost2-pos-x numeric
@attribute ghost2-pos-y numeric
@attribute ghost3-pos-x numeric
@attribute ghost3-pos-y numeric
@attribute ghost4-pos-x numeric
@attribute ghost4-pos-y numeric
@attribute wall-x-1-y1 numeric
@attribute wall-x-y1 numeric
@attribute wall-x1-y1 numeric
@attribute wall-x1-y numeric
@attribute wall-x1-y-1 numeric
@attribute wall-x-y-1 numeric
@attribute wall-x-1-y-1 numeric
@attribute wall-x-1-y numeric
@attribute wall-x-2-y2 numeric
@attribute wall-x-1-y2 numeric
@attribute wall-x-y2 numeric
@attribute wall-x1-y2 numeric
@attribute wall-x2-y2 numeric
@attribute wall-x2-y1 numeric
@attribute wall-x2-y numeric
@attribute wall-x2-y-1 numeric
@attribute wall-x2-y-2 numeric
@attribute wall-x1-y-2 numeric
@attribute wall-x-y-2 numeric
@attribute wall-x-1-y-2 numeric
@attribute wall-x-2-y-2 numeric
@attribute wall-x-2-y-1 numeric
@attribute wall-x-2-y numeric
@attribute wall-x-2-y1 numeric
@attribute wall-x-3-y3 numeric
@attribute wall-x-2-y3 numeric
@attribute wall-x-1-y3 numeric
@attribute wall-x-y3 numeric
@attribute wall-x1-y3 numeric
@attribute wall-x2-y3 numeric
@attribute wall-x3-y3 numeric
@attribute wall-x3-y2 numeric
@attribute wall-x3-y1 numeric
@attribute wall-x3-y numeric
@attribute wall-x3-y-1 numeric
@attribute wall-x3-y-2 numeric
@attribute wall-x3-y-3 numeric
@attribute wall-x2-y-3 numeric
@attribute wall-x1-y-3 numeric
@attribute wall-x-y-3 numeric
@attribute wall-x-1-y-3 numeric
@attribute wall-x-2-y-3 numeric
@attribute wall-x-3-y-3 numeric
@attribute wall-x-3-y-2 numeric
@attribute wall-x-3-y-1 numeric
@attribute wall-x-3-y numeric
@attribute wall-x-3-y1 numeric
@attribute wall-x-3-y2 numeric
@attribute wall-x-4-y4 numeric
@attribute wall-x-3-y4 numeric
@attribute wall-x-2-y4 numeric
@attribute wall-x-1-y4 numeric
@attribute wall-x-y4 numeric
@attribute wall-x1-y4 numeric
@attribute wall-x2-y4 numeric
@attribute wall-x3-y4 numeric
@attribute wall-x4-y4 numeric
@attribute wall-x4-y3 numeric
@attribute wall-x4-y2 numeric
@attribute wall-x4-y1 numeric
@attribute wall-x4-y numeric
@attribute wall-x4-y-1 numeric
@attribute wall-x4-y-2 numeric
@attribute wall-x4-y-3 numeric
@attribute wall-x4-y-4 numeric
@attribute wall-x3-y-4 numeric
@attribute wall-x2-y-4 numeric
@attribute wall-x1-y-4 numeric
@attribute wall-x-y-4 numeric
@attribute wall-x-1-y-4 numeric
@attribute wall-x-2-y-4 numeric
@attribute wall-x-3-y-4 numeric
@attribute wall-x-4-y-4 numeric
@attribute wall-x-4-y-3 numeric
@attribute wall-x-4-y-2 numeric
@attribute wall-x-4-y-1 numeric
@attribute wall-x-4-y numeric
@attribute wall-x-4-y1 numeric
@attribute wall-x-4-y2 numeric
@attribute wall-x-4-y3 numeric
@attribute wall-x-5-y5 numeric
@attribute wall-x-4-y5 numeric
@attribute wall-x-3-y5 numeric
@attribute wall-x-2-y5 numeric
@attribute wall-x-1-y5 numeric
@attribute wall-x-y5 numeric
@attribute wall-x1-y5 numeric
@attribute wall-x2-y5 numeric
@attribute wall-x3-y5 numeric
@attribute wall-x4-y5 numeric
@attribute wall-x5-y5 numeric
@attribute wall-x5-y4 numeric
@attribute wall-x5-y3 numeric
@attribute wall-x5-y2 numeric
@attribute wall-x5-y1 numeric
@attribute wall-x5-y numeric
@attribute wall-x5-y-1 numeric
@attribute wall-x5-y-2 numeric
@attribute wall-x5-y-3 numeric
@attribute wall-x5-y-4 numeric
@attribute wall-x5-y-5 numeric
@attribute wall-x4-y-5 numeric
@attribute wall-x3-y-5 numeric
@attribute wall-x2-y-5 numeric
@attribute wall-x1-y-5 numeric
@attribute wall-x-y-5 numeric
@attribute wall-x-1-y-5 numeric
@attribute wall-x-2-y-5 numeric
@attribute wall-x-3-y-5 numeric
@attribute wall-x-4-y-5 numeric
@attribute wall-x-5-y-5 numeric
@attribute wall-x-5-y-4 numeric
@attribute wall-x-5-y-3 numeric
@attribute wall-x-5-y-2 numeric
@attribute wall-x-5-y-1 numeric
@attribute wall-x-5-y numeric
@attribute wall-x-5-y1 numeric
@attribute wall-x-5-y2 numeric
@attribute wall-x-5-y3 numeric
@attribute wall-x-5-y4 numeric
@attribute score numeric
@attribute direction {North,South,East,West,Stop}

@data
23,17,1,1,1,1,1,1,1,1,2,10,8,3,22,12,26,6,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,Stop
23,17,1,1,1,1,1,1,1,1,2,10,8,3,22,12,26,6,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-1,Stop
23,17,1,1,1,1,1,1,1,1,2,10,8,3,22,12,26,6,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-2,East
24,17,1,1,1,1,1,1,1,1,2,10,8,3,22,12,26,6,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-3,East
25,17,1,1,1,1,1,1,1,1,2,10,8,3,22,12,26,6,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-4,East
26,17,1,1,1,1,1,1,1,1,2,10,8,3,22,12,26,6,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,-5,South
26,16,1,1,1,1,1,1,1,1,2,10,8,3,22,12,26,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,-6,South
26,15,1,1,1,0,1,1,1,1,2,10,8,3,22,12,26,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,-7,South
26,14,1,1,1,1,1,1,1,1,2,10,8,3,22,12,26,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,-8,South
26,13,1,1,1,1,1,1,1,1,2,10,8,3,22,12,26,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,-9,South
