@relation training_tutorial-weka.filters.unsupervised.attribute.Remove-R24-143

@attribute pacman-pos-x numeric
@attribute pacman-pos-y numeric
@attribute can-north numeric
@attribute can-south numeric
@attribute can-east numeric
@attribute can-west numeric
@attribute can-stop numeric
@attribute ghost1-live numeric
@attribute ghost2-live numeric
@attribute ghost3-live numeric
@attribute ghost4-live numeric
@attribute ghost1-pos-x numeric
@attribute ghost1-pos-y numeric
@attribute ghost2-pos-x numeric
@attribute ghost2-pos-y numeric
@attribute ghost3-pos-x numeric
@attribute ghost3-pos-y numeric
@attribute ghost4-pos-x numeric
@attribute ghost4-pos-y numeric
@attribute ghost1-distance numeric
@attribute ghost2-distance numeric
@attribute ghost3-distance numeric
@attribute ghost4-distance numeric
@attribute score numeric
@attribute direction {North,South,East,West,Stop}
@attribute future_score numeric

@data
2,10,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,19,17,22,28,0,East,-1
3,10,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,18,16,21,27,-1,East,-2
4,10,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,17,15,20,26,-2,East,-3
5,10,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,16,14,19,25,-3,East,-4
6,10,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,15,13,18,24,-4,East,-5
7,10,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,14,12,17,23,-5,East,-6
8,10,0,1,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,13,11,16,22,-6,East,-7
9,10,0,1,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,12,10,15,21,-7,South,-8
9,9,1,1,0,1,1,1,1,1,1,16,5,17,8,22,12,23,17,11,9,16,22,-8,South,-9
9,8,1,1,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,10,8,17,23,-9,East,-10
10,8,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,9,7,16,22,-10,East,-11
11,8,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,8,6,15,21,-11,East,-12
12,8,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,7,5,14,20,-12,East,-13
13,8,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,6,4,13,19,-13,East,-14
14,8,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,5,3,12,18,-14,East,-15
15,8,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,4,2,11,17,-15,East,-16
16,8,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,3,1,10,16,-16,East,183
17,8,0,0,0,1,1,1,0,1,1,16,5,3,1,22,12,23,17,4,0,9,15,183,West,182
16,8,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,3,0,10,16,182,West,181
15,8,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,4,0,11,17,181,West,180
14,8,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,5,0,12,18,180,West,179
13,8,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,6,0,13,19,179,West,178
12,8,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,7,0,14,20,178,West,177
11,8,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,8,0,15,21,177,West,176
10,8,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,9,0,16,22,176,West,175
9,8,1,1,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,10,0,17,23,175,South,174
9,7,1,1,0,1,1,1,0,1,1,16,5,3,1,22,12,23,17,9,0,18,24,174,South,173
9,6,1,1,0,1,1,1,0,1,1,16,5,3,1,22,12,23,17,8,0,19,25,173,South,172
9,5,1,1,0,1,1,1,0,1,1,16,5,3,1,22,12,23,17,7,0,20,26,172,South,171
9,4,1,1,0,1,1,1,0,1,1,16,5,3,1,22,12,23,17,8,0,21,27,171,South,170
9,3,1,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,9,0,22,28,170,East,169
10,3,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,8,0,21,27,169,East,168
11,3,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,7,0,20,26,168,East,167
12,3,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,6,0,19,25,167,East,166
13,3,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,5,0,18,24,166,East,165
14,3,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,4,0,17,23,165,East,164
15,3,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,3,0,16,22,164,East,163
16,3,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,2,0,15,21,163,East,162
17,3,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,3,0,14,20,162,East,161
18,3,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,4,0,13,19,161,East,160
19,3,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,5,0,12,18,160,East,159
20,3,0,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,6,0,11,17,159,East,158
21,3,1,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,7,0,10,16,158,North,157
21,4,1,1,1,0,1,1,0,1,1,16,5,3,1,22,12,23,17,6,0,9,15,157,North,156
21,5,1,1,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,5,0,8,14,156,West,155
20,5,1,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,4,0,9,15,155,West,154
19,5,1,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,3,0,10,16,154,West,153
18,5,1,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,2,0,11,17,153,West,152
17,5,1,0,1,1,1,1,0,1,1,16,5,3,1,22,12,23,17,1,0,12,18,152,West,351
16,5,1,0,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,13,19,351,North,350
16,6,0,1,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,12,18,350,East,349
17,6,0,1,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,11,17,349,East,348
18,6,0,1,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,10,16,348,East,347
19,6,1,1,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,9,15,347,North,346
19,7,1,1,1,0,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,8,14,346,North,345
19,8,1,1,1,0,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,7,13,345,North,344
19,9,1,1,1,0,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,6,12,344,North,343
19,10,0,1,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,5,11,343,East,342
20,10,0,1,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,4,10,342,East,341
21,10,0,0,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,3,9,341,East,340
22,10,0,0,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,2,8,340,East,339
23,10,0,0,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,3,7,339,East,338
24,10,0,0,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,4,8,338,East,337
25,10,0,0,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,5,9,337,East,336
26,10,1,1,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,6,10,336,North,335
26,11,1,1,1,0,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,5,9,335,North,334
26,12,1,1,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,4,8,334,West,333
25,12,1,0,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,3,7,333,West,332
24,12,1,0,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,2,6,332,West,331
23,12,1,0,1,1,1,0,0,1,1,1,1,3,1,22,12,23,17,0,0,1,5,331,West,530
22,12,1,0,1,1,1,0,0,0,1,1,1,3,1,5,1,23,17,0,0,0,6,530,North,529
22,13,1,1,1,1,1,0,0,0,1,1,1,3,1,5,1,23,17,0,0,0,5,529,North,528
22,14,0,1,1,1,1,0,0,0,1,1,1,3,1,5,1,23,17,0,0,0,4,528,East,527
23,14,0,1,1,1,1,0,0,0,1,1,1,3,1,5,1,23,17,0,0,0,3,527,East,526
24,14,0,1,1,1,1,0,0,0,1,1,1,3,1,5,1,23,17,0,0,0,4,526,East,525
25,14,0,1,1,1,1,0,0,0,1,1,1,3,1,5,1,23,17,0,0,0,5,525,East,524
26,14,1,1,1,1,1,0,0,0,1,1,1,3,1,5,1,23,17,0,0,0,6,524,North,523
26,15,1,1,1,0,1,0,0,0,1,1,1,3,1,5,1,23,17,0,0,0,5,523,North,522
26,16,1,1,1,1,1,0,0,0,1,1,1,3,1,5,1,23,17,0,0,0,4,522,West,521
25,16,1,0,1,1,1,0,0,0,1,1,1,3,1,5,1,23,17,0,0,0,3,521,West,520
24,16,1,0,1,1,1,0,0,0,1,1,1,3,1,5,1,23,17,0,0,0,2,520,North,519
2,10,0,0,1,1,1,1,1,1,1,16,5,17,8,22,12,23,17,19,17,22,28,0,East,-1
3,10,0,0,1,1,1,1,1,1,1,17,5,17,8,22,12,23,17,19,16,21,26,-1,East,-2
4,10,0,0,1,1,1,1,1,1,1,17,5,16,8,23,12,23,16,18,14,21,26,-2,East,-3
5,10,0,0,1,1,1,1,1,1,1,17,5,15,8,22,12,24,16,17,12,19,26,-3,East,-4
6,10,0,0,1,1,1,1,1,1,1,16,5,14,8,23,12,25,16,15,10,19,24,-4,East,-5
7,10,0,0,1,1,1,1,1,1,1,16,6,15,8,23,12,24,16,13,10,18,24,-5,East,-6
8,10,0,1,1,1,1,1,1,1,1,15,6,14,8,24,12,24,17,11,8,18,24,-6,East,-7
9,10,0,1,1,1,1,1,1,1,1,16,6,14,8,24,12,25,17,11,7,17,22,-7,South,-8
9,9,1,1,0,1,1,1,1,1,1,16,6,15,8,24,13,24,17,10,7,19,22,-8,South,-9
9,8,1,1,1,1,1,1,1,1,1,16,6,16,8,24,14,23,17,9,7,21,22,-9,East,-10
10,8,0,0,1,1,1,1,1,1,1,15,6,16,8,24,13,23,16,7,6,19,22,-10,East,-11
11,8,0,0,1,1,1,1,1,1,1,16,6,17,8,23,13,23,17,7,6,17,20,-11,East,-12
12,8,0,0,1,1,1,1,1,1,1,16,5,17,8,23,13,23,16,7,5,16,18,-12,East,-13
13,8,0,0,1,1,1,1,1,1,1,16,5,17,8,22,13,22,16,6,4,14,16,-13,East,-14
14,8,0,0,1,1,1,1,1,1,1,17,5,17,8,21,13,21,16,6,3,12,14,-14,East,-15
15,8,0,0,1,1,1,1,1,1,1,17,6,16,8,21,12,20,16,4,1,10,14,-15,East,184
16,8,0,0,1,1,1,1,0,1,1,17,5,3,1,20,12,20,17,4,0,8,13,184,East,183
17,8,0,0,0,1,1,1,0,1,1,17,5,3,1,20,12,20,17,3,0,7,13,183,West,182
16,8,0,0,1,1,1,1,0,1,1,17,6,3,1,20,13,20,18,3,0,9,13,182,West,181
15,8,0,0,1,1,1,1,0,1,1,17,5,3,1,20,12,20,17,5,0,9,14,181,West,180
14,8,0,0,1,1,1,1,0,1,1,17,6,3,1,21,12,20,17,5,0,11,16,180,West,179
13,8,0,0,1,1,1,1,0,1,1,18,6,3,1,21,13,20,18,7,0,13,18,179,West,178
12,8,0,0,1,1,1,1,0,1,1,18,5,3,1,21,13,21,18,9,0,14,20,178,West,177
11,8,0,0,1,1,1,1,0,1,1,17,5,3,1,21,13,22,18,9,0,15,20,177,West,176
10,8,0,0,1,1,1,1,0,1,1,17,6,3,1,21,12,21,18,9,0,15,20,176,West,175
9,8,1,1,1,1,1,1,0,1,1,18,6,3,1,22,12,21,17,11,0,17,20,175,South,174
9,7,1,1,0,1,1,1,0,1,1,19,6,3,1,23,12,20,17,11,0,19,22,174,South,173
9,6,1,1,0,1,1,1,0,1,1,18,6,3,1,22,12,21,17,9,0,19,23,173,South,172
9,5,1,1,0,1,1,1,0,1,1,18,6,3,1,21,12,21,17,10,0,19,25,172,South,171
9,4,1,1,0,1,1,1,0,1,1,19,6,3,1,22,12,22,17,12,0,21,25,171,South,170
9,3,1,0,1,1,1,1,0,1,1,18,6,3,1,22,13,22,16,12,0,23,26,170,East,169
10,3,0,0,1,1,1,1,0,1,1,18,5,3,1,23,13,22,16,10,0,23,25,169,East,168
11,3,0,0,1,1,1,1,0,1,1,19,5,3,1,23,12,22,16,10,0,21,24,168,East,167
12,3,0,0,1,1,1,1,0,1,1,18,5,3,1,24,12,22,16,8,0,21,24,167,East,166
13,3,0,0,1,1,1,1,0,1,1,17,5,3,1,24,13,22,17,6,0,21,22,166,East,165
14,3,0,0,1,1,1,1,0,1,1,18,5,3,1,24,14,22,16,6,0,21,22,165,East,164
15,3,0,0,1,1,1,1,0,1,1,17,5,3,1,25,14,22,17,4,0,21,21,164,East,163
16,3,0,0,1,1,1,1,0,1,1,16,5,3,1,26,14,22,17,2,0,21,21,163,East,162
17,3,0,0,1,1,1,1,0,1,1,16,6,3,1,26,13,23,17,4,0,19,20,162,East,161
18,3,0,0,1,1,1,1,0,1,1,17,6,3,1,26,12,23,17,4,0,17,20,161,East,160
19,3,0,0,1,1,1,1,0,1,1,16,6,3,1,25,12,23,18,6,0,15,20,160,East,159
20,3,0,0,1,1,1,1,0,1,1,16,6,3,1,26,12,24,18,7,0,15,18,159,East,158
21,3,1,0,1,1,1,1,0,1,1,15,6,3,1,26,12,23,18,9,0,14,16,158,North,157
21,4,1,1,1,0,1,1,0,1,1,15,6,3,1,26,12,22,18,8,0,13,14,157,North,156
21,5,1,1,1,1,1,1,0,1,1,16,6,3,1,26,11,21,18,6,0,11,14,156,West,155
20,5,1,0,1,1,1,1,0,1,1,16,6,3,1,26,10,22,18,5,0,11,15,155,West,154
19,5,1,0,1,1,1,1,0,1,1,17,6,3,1,25,10,22,18,3,0,11,15,154,West,153
18,5,1,0,1,1,1,1,0,1,1,18,6,3,1,24,10,21,18,1,0,11,15,153,West,152
17,5,1,0,1,1,1,1,0,1,1,17,6,3,1,25,10,20,18,1,0,13,16,152,North,351
17,6,0,1,1,1,1,0,0,1,1,1,1,3,1,24,10,20,18,0,0,11,14,351,East,350
18,6,0,1,1,1,1,0,0,1,1,1,1,3,1,24,10,20,17,0,0,10,14,350,East,349
19,6,1,1,1,1,1,0,0,1,1,1,1,3,1,25,10,20,18,0,0,10,12,349,East,348
20,6,1,1,1,1,1,0,0,1,1,1,1,3,1,24,10,19,18,0,0,8,12,348,North,347
20,7,1,1,0,1,1,0,0,1,1,1,1,3,1,25,10,20,18,0,0,8,10,347,North,346
20,8,1,1,1,1,1,0,0,1,1,1,1,3,1,24,10,20,17,0,0,6,10,346,East,345
21,8,0,0,1,1,1,0,0,1,1,1,1,3,1,23,10,19,17,0,0,4,10,345,East,344
22,8,0,0,1,1,1,0,0,1,1,1,1,3,1,23,10,19,16,0,0,3,10,344,East,343
23,8,0,0,1,1,1,0,0,1,1,1,1,3,1,24,10,20,16,0,0,3,12,343,East,342
24,8,0,0,1,1,1,0,0,1,1,1,1,3,1,23,10,20,17,0,0,3,14,342,East,341
25,8,0,1,1,1,1,0,0,1,1,1,1,3,1,23,10,19,17,0,0,4,14,341,East,340
26,8,1,1,1,1,1,0,0,1,1,1,1,3,1,23,10,19,16,0,0,5,14,340,North,339
